country,year,month,month_number,quarter,age_group,population,cases,deaths,incidence_per_1000,mortality_per_1000,case_fatality_rate,itn_coverage,irs_coverage,act_treatment_rate,risk_level,region,gdp_per_capita,healthcare_access
Nigeria,2020,January,1,1,0-5 years,39240000,27763134,716869,707.52,18.269,2.58,55.3,16.5,67.3,high,West Africa,2097,45
Nigeria,2020,January,1,1,5-15 years,54500000,31945606,645170,586.16,11.838,2.02,54.2,29.7,77.4,high,West Africa,2097,45
Nigeria,2020,January,1,1,15-65 years,113360000,34138053,697464,301.15,6.153,2.04,49.5,28.6,70.5,high,West Africa,2097,45
Nigeria,2020,January,1,1,65+ years,10900000,3751253,58811,344.15,5.396,1.57,51.4,16.9,73.7,high,West Africa,2097,45
Nigeria,2020,February,2,1,0-5 years,39240000,37254703,903641,949.41,23.029,2.43,53.7,24.5,67.1,high,West Africa,2097,45
Nigeria,2020,February,2,1,5-15 years,54500000,37014305,827529,679.16,15.184,2.24,63.7,15.2,72.9,high,West Africa,2097,45
Nigeria,2020,February,2,1,15-65 years,113360000,28828384,254661,254.31,2.246,0.88,47.1,22.5,65.5,high,West Africa,2097,45
Nigeria,2020,February,2,1,65+ years,10900000,3679590,32248,337.58,2.959,0.88,51.5,16.7,69.3,high,West Africa,2097,45
Nigeria,2020,March,3,1,0-5 years,39240000,30035360,647920,765.43,16.512,2.16,54.8,20.8,73.3,high,West Africa,2097,45
Nigeria,2020,March,3,1,5-15 years,54500000,23233018,476916,426.29,8.751,2.05,54.8,22.8,74.3,high,West Africa,2097,45
Nigeria,2020,March,3,1,15-65 years,113360000,31484459,358671,277.74,3.164,1.14,61.6,24.4,66.2,high,West Africa,2097,45
Nigeria,2020,March,3,1,65+ years,10900000,4885748,47063,448.23,4.318,0.96,57.6,22.5,73.1,high,West Africa,2097,45
Nigeria,2020,April,4,2,0-5 years,39240000,36099871,346827,919.98,8.839,0.96,64.1,20.7,79.5,high,West Africa,2097,45
Nigeria,2020,April,4,2,5-15 years,54500000,24125118,207922,442.66,3.815,0.86,52.3,25.8,76.0,high,West Africa,2097,45
Nigeria,2020,April,4,2,15-65 years,113360000,26987319,256413,238.07,2.262,0.95,47.2,22.9,67.2,high,West Africa,2097,45
Nigeria,2020,April,4,2,65+ years,10900000,4205442,113450,385.82,10.408,2.7,52.1,28.4,75.2,high,West Africa,2097,45
Nigeria,2020,May,5,2,0-5 years,39240000,70387209,1596357,1793.76,40.682,2.27,51.7,28.0,67.1,high,West Africa,2097,45
Nigeria,2020,May,5,2,5-15 years,54500000,77073297,1737932,1414.19,31.889,2.25,60.3,20.4,73.8,high,West Africa,2097,45
Nigeria,2020,May,5,2,15-65 years,113360000,75866847,1407929,669.26,12.42,1.86,52.7,22.4,65.8,high,West Africa,2097,45
Nigeria,2020,May,5,2,65+ years,10900000,9394720,250355,861.9,22.968,2.66,50.1,22.0,79.3,high,West Africa,2097,45
Nigeria,2020,June,6,2,0-5 years,39240000,93839729,978832,2391.43,24.945,1.04,56.4,24.8,77.6,high,West Africa,2097,45
Nigeria,2020,June,6,2,5-15 years,54500000,64564830,791656,1184.68,14.526,1.23,55.7,19.6,65.3,high,West Africa,2097,45
Nigeria,2020,June,6,2,15-65 years,113360000,76462702,1423783,674.51,12.56,1.86,63.5,23.6,76.3,high,West Africa,2097,45
Nigeria,2020,June,6,2,65+ years,10900000,11238609,89683,1031.07,8.228,0.8,49.9,15.7,75.6,high,West Africa,2097,45
Nigeria,2020,July,7,3,0-5 years,39240000,83059151,767307,2116.7,19.554,0.92,45.0,17.6,65.7,high,West Africa,2097,45
Nigeria,2020,July,7,3,5-15 years,54500000,73369945,690191,1346.24,12.664,0.94,48.1,17.6,67.0,high,West Africa,2097,45
Nigeria,2020,July,7,3,15-65 years,113360000,84876442,2268207,748.73,20.009,2.67,47.8,25.9,66.3,high,West Africa,2097,45
Nigeria,2020,July,7,3,65+ years,10900000,10337214,212595,948.37,19.504,2.06,59.7,25.3,67.6,high,West Africa,2097,45
Nigeria,2020,August,8,3,0-5 years,39240000,93543605,1101336,2383.88,28.067,1.18,46.5,23.3,78.4,high,West Africa,2097,45
Nigeria,2020,August,8,3,5-15 years,54500000,95004036,1620798,1743.19,29.739,1.71,59.6,20.2,66.3,high,West Africa,2097,45
Nigeria,2020,August,8,3,15-65 years,113360000,67857243,661331,598.6,5.834,0.97,54.7,23.6,76.0,high,West Africa,2097,45
Nigeria,2020,August,8,3,65+ years,10900000,7940961,51517,728.53,4.726,0.65,58.8,28.8,66.5,high,West Africa,2097,45
Nigeria,2020,September,9,3,0-5 years,39240000,70210634,1747307,1789.26,44.529,2.49,49.8,27.2,65.3,high,West Africa,2097,45
Nigeria,2020,September,9,3,5-15 years,54500000,64746115,563318,1188.0,10.336,0.87,50.7,23.3,77.9,high,West Africa,2097,45
Nigeria,2020,September,9,3,15-65 years,113360000,77367197,407382,682.49,3.594,0.53,51.1,20.6,70.5,high,West Africa,2097,45
